Location Name,Type,Space Category,Neighborhood,Feasibility Score,Contact Info,Booking Link,IG/Social Link,Why It's Interesting,Capacity Estimate
The Monadnock Building (Interior Hallways),Indoor,architectural landmark,Loop,6,,,,"Dark, towering load-bearing brick walls and massive oak doors with an authentic 1890s atmosphere.",Varies
Palmer House Hilton (Empire Room),Indoor,historic building,Loop,7,,,palmerhousehilton,"Gilded opulence, massive chandeliers, and French Empire-style decor that feels overwhelming.",300
Garfield Park Conservatory (Aroid House),Indoor,immersive exhibit,East Garfield Park,8,rentals@garfieldpark.org,,garfieldparkconservatory,Featuring glass lily pads and Chihuly glass sculptures among dense tropical leaves.,100
Lincoln Park Conservatory (Orchid House),Indoor,immersive exhibit,Lincoln Park,7,,https://lincolnparkconservancy.org,lincolnparkconservancy,"Humid, vibrantly colored glass house tightly packed with exotic hanging flora.",50
Shedd Aquarium (Oceanarium Underwater Viewing),Indoor,museum,Near South Side,5,events@sheddaquarium.org,,shedd_aquarium,Thick curved glass walls peering into glowing blue saltwater habitats.,Varies
Field Museum (Stanley Field Hall - After Hours),Indoor,museum,Near South Side,4,events@fieldmuseum.org,,fieldmuseum,"Colossal, echoing marble halls flanked by massive taxidermy and skeletal monuments.",Varies
Museum of Science and Industry (U-505 Room),Indoor,museum,Hyde Park,4,specialevents@msichicago.org,,msichicago,An entire multi-story subterranean concrete cavern housing a fully intact WWII submarine.,Varies
Adler Planetarium (Grainger Sky Theater),Indoor,museum,Near South Side,6,events@adlerplanetarium.org,,adlerplanet,Immersive 360-degree domed space that can project absolute darkness or cosmic visuals.,Varies
ISAC Museum (Former Oriental Institute),Indoor,museum,Hyde Park,6,isac-events@uchicago.edu,,isacupress,"Features towering, monolithic ancient Assyrian artifacts and dimly lit stone galleries.",100
Smart Museum of Art,Indoor,museum,Hyde Park,7,smart-museum@uchicago.edu,,smartmuseum,Minimalist modernist gallery surrounded by a courtyard of brutalist concrete.,Varies
Jane Addams Hull-House Museum,Indoor,museum,Near West Side,6,hullhouse@uic.edu,,hullhousemuseum,"A preserved 19th-century settlement house with eerie, claustrophobic Victorian rooms.",50
Charnley-Persky House,Indoor,architectural landmark,Gold Coast,7,info@sah.org,,charnleyperskyhouse,Louis Sullivan and Frank Lloyd Wright collaboration featuring harsh geometric wood interiors.,30
Clarke-Ford House,Indoor,historic building,South Loop,6,,,,"Chicago's oldest surviving house, a stark white Greek Revival structure that feels displaced in time.",50
Robie House (Dining Room/Living Room),Indoor,architectural landmark,Hyde Park,6,events@flwright.org,,flwtrust,The ultimate Prairie style interior emphasizing extreme horizontal lines and custom art glass.,40
Hotel Florence (Historic Lobby),Indoor,historic building,Pullman,5,,,pullmanil,Abandoned-feeling 1880s hotel interior with dark cherry woodwork and peeling grandeur.,Varies
Greenstone United Methodist Church,Indoor,church,Pullman,7,greenstoneumc@gmail.com,,greenstoneumc,"Massive serpentine green stone exterior giving way to a warm, rounded wooden auditorium.",200
St. Clement Church,Indoor,church,Lincoln Park,6,,,,Byzantine-style mosaic dome that violently contrasts with the surrounding modern city.,Varies
Holy Name Cathedral (Wooden Ceiling),Indoor,church,Near North Side,5,,,holynamechicago,Gargantuan carved wooden ceiling vault that feels like the inverted hull of an ancient ship.,Varies
"Seventeenth Church of Christ, Scientist",Indoor,architectural landmark,Loop,5,info@christiansciencechicago.org,,,"A radical brutalist concrete cylinder that contains a sweeping, auditorium-style sanctuary.",Varies
Kam Isaiah Israel,Indoor,architectural landmark,Hyde Park,6,office@kamii.org,,,Unique octagonal Byzantine architecture with a massive echoing interior.,Varies
Quinn Chapel AME Church,Indoor,church,South Loop,6,quinnchapelamec@sbcglobal.net,,,"Historic abolitionist church with rugged, time-worn architectural character.",Varies
First United Methodist Church (Sky Chapel),Indoor,church,Loop,4,,,chicagotemple,"A tiny, perfectly preserved gothic chapel hidden 400 feet up inside a downtown skyscraper.",30
St. Michael's in Old Town,Indoor,church,Old Town,6,,,stmikeschicago,Towering Bavarian-influenced columns that survived the Great Chicago Fire.,Varies
St. Benedict the African,Indoor,church,Englewood,7,,,,Striking modern afro-centric religious architecture with a cascading indoor water feature.,Varies
S.R. Crown Hall (Mies van Rohe),Indoor,architectural landmark,Bronzeville,6,events@iit.edu,,iitarchitecture,The masterpiece of modernist glass-and-steel architecture; a totally column-free open space.,Varies
Carr Memorial Chapel,Indoor,architectural landmark,Bronzeville,7,,,,"Known as the 'God Box,' a relentlessly stark minimalist brick and steel cuboid chapel.",100
D'Angelo Law Library,Indoor,library,Hyde Park,5,,,uchicagolaw,"Aggressive, imposing mid-century geometric design that feels like a bureaucratic fortress.",Varies
Joe and Rika Mansueto Library,Indoor,library,Hyde Park,5,,,uchicagolibrary,Underground reading room entirely encapsulated by an enormous elliptical glass dome.,Varies
Chicago Public Library - Chinatown Branch,Indoor,library,Chinatown,7,,,chipublib,A pebble-shaped building with continuous flowing interior lines and massive sun-shades.,Varies
Wrightwood 659,Indoor,gallery,Lincoln Park,7,info@wrightwood659.org,,wrightwood659,Tadao Ando-designed bare concrete and glass gallery inserted into a vintage brick shell.,Varies
Museum of Broadcast Communications,Indoor,museum,River North,8,events@museum.tv,,mbc_chicago,Retro 1970s television and radio sets dominating the visual landscape of the floors.,150
Pritzker Military Museum & Library,Indoor,library,Loop,6,events@pritzkermilitary.org,,pritzkermilitary,"Intensely formal, multi-level gallery with deep reds and gold accents housing rare military history.",100
McCormick Bridgehouse & Chicago River Museum,Indoor,museum,Loop,8,bridgehousemuseum@chicagoriver.org,,bridgehousemuseum,Five stories of exposed massive gears and raw stone located entirely within a bridge tower.,40
Wintrust Bank Building (231 S LaSalle),Indoor,historic building,Loop,5,,,,A neoclassical colossal banking hall with 40-foot marble columns.,Varies
The Builders Building (Atrium),Indoor,architectural landmark,Loop,7,,,,"Massive glass skylight covering a breathtaking, intricate multi-story indoor courtyard.",Varies
BMO Family Office (Former Harris Bank),Indoor,historic building,Loop,4,,,,Bas-relief stone walls and intense mid-century banking geometry.,Varies
Old Post Office (Meadow/Lobby),Indoor,historic building,Loop,8,events@post433.com,https://post433.com,post433,Immaculately restored 1920s Art Deco lobby on an absolutely gargantuan scale.,300
Navy Pier (Crystal Gardens/Abandoned feel),Indoor,immersive exhibit,Streeterville,7,navypierinfo@navypier.org,,navypierchicago,"An echoing, massive glass atrium filled with towering palm trees, currently transitioning use.",Varies
Chicago Board of Trade Vaults,Indoor,architectural landmark,Loop,5,info@cbotbuilding.com,,cbotbuilding,Basement safe deposit vaults featuring steel doors several feet thick and endless grim corridors.,Varies
Gwendolyn Brooks Library (CSU Campus),Indoor,library,Roseland,6,,,,"Futuristic angular glass facade enclosing a brightly lit, sharply modern academic atrium.",Varies
